cell,rate,w,method,eval,mean_reward,best_val_ber
R0.75_w1,0.75,1,rl,240,2.1527,1.9354e-03
R0.75_w1,0.75,1,rl,280,2.1909,1.9354e-03
R0.75_w1,0.75,1,rl,320,2.3165,1.9354e-03
R0.75_w1,0.75,1,rl,360,2.3092,1.9354e-03
R0.75_w1,0.75,1,rl,400,2.1482,1.9354e-03
R0.75_w1,0.75,1,rl,440,2.8911,1.9354e-03
R0.75_w1,0.75,1,rl,480,2.7583,1.9354e-03
R0.75_w1,0.75,1,rl_peredge,40,2.2571,6.1225e-03
R0.75_w1,0.75,1,rl_peredge,80,2.1927,3.8223e-03
R0.75_w1,0.75,1,rl_peredge,120,2.5547,3.8223e-03
R0.75_w1,0.75,1,rl_peredge,160,2.1709,3.8223e-03
R0.75_w1,0.75,1,rl_peredge,200,2.6453,3.8223e-03
R0.75_w1,0.75,1,rl_peredge,240,2.9431,2.5116e-03
R0.75_w1,0.75,1,rl_peredge,280,2.5154,2.5116e-03
R0.75_w1,0.75,1,rl_peredge,320,2.8817,2.5116e-03
R0.75_w1,0.75,1,rl_peredge,360,2.9010,2.5116e-03
R0.75_w1,0.75,1,rl_peredge,400,2.8114,2.5116e-03
R0.75_w1,0.75,1,rl_peredge,440,2.7881,1.9289e-03
R0.75_w1,0.75,1,rl_peredge,480,2.6492,1.9289e-03
R0.75_w1,0.75,1,cem,40,,7.7786e-03
R0.75_w1,0.75,1,cem,80,,5.8239e-03
R0.75_w1,0.75,1,cem,120,,2.5843e-03
R0.75_w1,0.75,1,cem,160,,2.5843e-03
R0.75_w1,0.75,1,cem,200,,2.5826e-03
R0.75_w1,0.75,1,cem,240,,2.5826e-03
R0.75_w1,0.75,1,cem,280,,2.5826e-03
R0.75_w1,0.75,1,cem,320,,2.5826e-03
R0.75_w1,0.75,1,cem,360,,2.5826e-03
R0.75_w1,0.75,1,cem,400,,2.5826e-03
R0.75_w1,0.75,1,cem,440,,2.5826e-03
R0.75_w1,0.75,1,cem,480,,2.5826e-03
R0.75_w1,0.75,1,random,40,,6.8650e-03
R0.75_w1,0.75,1,random,80,,3.9966e-03
R0.75_w1,0.75,1,random,120,,3.9966e-03
R0.75_w1,0.75,1,random,160,,3.5592e-03
R0.75_w1,0.75,1,random,200,,3.5172e-03
R0.75_w1,0.75,1,random,240,,3.5172e-03
R0.75_w1,0.75,1,random,280,,3.5172e-03
R0.75_w1,0.75,1,random,320,,3.5172e-03
R0.75_w1,0.75,1,random,360,,3.5172e-03
R0.75_w1,0.75,1,random,400,,3.5172e-03
R0.75_w1,0.75,1,random,440,,3.5172e-03
R0.75_w1,0.75,1,random,480,,3.5172e-03
R0.75_w2,0.75,2,rl,40,2.4792,1.6300e-03
R0.75_w2,0.75,2,rl,80,2.5948,5.1847e-04
R0.75_w2,0.75,2,rl,120,2.5286,5.1847e-04
R0.75_w2,0.75,2,rl,160,2.7882,5.1847e-04
R0.75_w2,0.75,2,rl,200,2.3892,5.1847e-04
R0.75_w2,0.75,2,rl,240,2.4118,5.1847e-04
R0.75_w2,0.75,2,rl,280,2.4404,5.1847e-04
R0.75_w2,0.75,2,rl,320,2.8702,5.1847e-04
R0.75_w2,0.75,2,rl,360,2.6326,5.1847e-04
R0.75_w2,0.75,2,rl,400,2.5210,5.1847e-04
R0.75_w2,0.75,2,rl,440,2.6941,5.1847e-04
R0.75_w2,0.75,2,rl,480,3.1741,5.1847e-04
R0.75_w2,0.75,2,rl_peredge,40,2.5032,4.4176e-03
R0.75_w2,0.75,2,rl_peredge,80,2.8230,2.0916e-03
R0.75_w2,0.75,2,rl_peredge,120,2.2635,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,160,2.7761,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,200,2.8977,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,240,2.7361,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,280,2.6796,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,320,3.1005,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,360,2.8617,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,400,2.7883,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,440,3.2046,1.1417e-03
R0.75_w2,0.75,2,rl_peredge,480,2.9905,8.3274e-04
R0.75_w2,0.75,2,cem,40,,2.2638e-03
