group,n_levels,pd_B_GHz,L_km,ROP_dBm,eq,ffe_taps,dfe_taps,snr_dB,evm_pct,ser,ber,ber_msb,ber_lsb,bit_ber_ratio,sigma,acf1,acf2,acf3,sfm,isi_m1,isi_p1,isi_m2,isi_p2,isi_m3,isi_p3,lvl_var_ratio
PAM4,4,40.0,10.0,-10.0,FFE,41,0,20.927588864148603,8.9871203346418,0.0,0.0,0.0,0.0,0.0,0.08970928932638945,-0.15436220847414048,0.06864581126708329,-0.06864340766403167,0.9358552868550846,0.0332043769595137,0.0347026618169252,-0.022765928071434235,-0.017605710700888424,-0.014679156051980866,-0.020070170426660518,1.3372725423861942
PAM4,4,40.0,10.0,-8.0,FFE,41,0,23.417255775629457,6.747411720932563,0.0,0.0,0.0,0.0,0.0,0.06735255429308061,-0.12404007452511612,0.06747155686659188,-0.0663834804818732,0.9404251314985824,0.0193421134635783,0.020701888584354445,-0.020097869830847895,-0.013640277388871339,-0.015226510063409622,-0.024047859095211368,1.6045437390281392
PAM4,4,40.0,10.0,-6.0,FFE,41,0,25.08587752845656,5.568088425392161,0.0,0.0,0.0,0.0,0.0,0.055580568296500356,-0.08869086148366907,0.06753478532139413,-0.06181749211111155,0.9422684035237588,0.0069534185251915685,0.007268801916250023,-0.016753833126511995,-0.009585598584758256,-0.014952063716170435,-0.026817656506735055,1.9950243657205897
PAM6,6,40.0,10.0,-12.0,FFE,41,0,17.412959719748297,13.469516729125688,0.02975,nan,nan,nan,nan,0.13444864195573622,-0.15629399552716583,0.06370246963506004,-0.05242793275915855,0.9316436538702868,0.045444602376685295,0.05558587079437134,-0.02338611773478938,-0.010009026143992513,0.002904100107288575,-0.025250482003270427,1.1477729372063183
PAM6,6,40.0,10.0,-10.0,FFE,41,0,20.555128286546026,9.380880111447453,0.0035,nan,nan,nan,nan,0.09363710790057081,-0.12759417929779304,0.06191109838314042,-0.04516895899499479,0.9367432368089513,0.03261194144679496,0.04607291537920144,-0.02054069548277932,-0.004109956861695794,0.006029996720305132,-0.030747760857792763,1.2743761378318168
PAM6,6,40.0,10.0,-8.0,FFE,41,0,23.012850585479413,7.068991683524782,0.0015,nan,nan,nan,nan,0.07056053687443561,-0.07719148158817342,0.0627953578297356,-0.03648693841412747,0.942733804215112,0.020870419366916578,0.03690559387033798,-0.016829648374335777,0.0024731738968907686,0.009512521993719303,-0.0353249471459926,1.6115749537875161
PAM6,6,40.0,10.0,-6.0,FFE,41,0,24.63489044053397,5.864830674538976,0.00175,nan,nan,nan,nan,0.0585409658972444,-0.0224869845380354,0.06188397863419993,-0.031416434465229855,0.9466084306741676,0.010160138199457405,0.027965500200979935,-0.013259228498065616,0.008777088731750319,0.012139015172634044,-0.03800072109686553,2.208356131190875
PAM4,4,30.0,10.0,-2.0,DFE6,41,6,13.450702953508989,21.255183189670152,0.023,0.012,0.0075,0.0165,2.2,0.21216889364412056,-0.4012359952801801,0.013467324894910421,-0.03210062435886297,0.7856927895475553,0.09652180066187005,0.10829408928312012,-0.17693264695581978,-0.04652858760281186,0.15951098305887632,-0.024700916234886416,2.6643367798760376
PAM4,4,30.0,10.0,-2.0,FFE,41,0,5.511264703850639,53.019638807553015,0.357,0.1845,0.114,0.255,2.236842105263158,0.5292411741093054,-0.8216187120892229,0.5706944474400172,-0.2619940953427236,0.04001897763819667,0.4061876446867254,0.4086229715427448,-0.3052882689851362,-0.3015990623582235,0.14647737454036353,0.15469859336604347,1.3364254888451406
PAM4,4,30.0,10.0,2.0,DFE6,41,6,9.44903316372081,33.69367184645212,0.039,0.022875,0.01575,0.03,1.9047619047619047,0.33632968554907744,-0.49195608540218005,-0.09041748948903985,0.29368623286777107,0.4222508644092108,0.06767496084736518,0.1271789964786914,-0.10049602106962809,-0.07405270618614686,0.09947064007418507,-0.014587332508794777,1.2694802449815106
PAM4,4,30.0,10.0,2.0,FFE,41,0,5.460512917571569,53.330340202247584,0.3575,0.18425,0.11425,0.25425,2.2253829321663017,0.5323425903887035,-0.8180967254085263,0.5607708637658557,-0.25054349821472865,0.03770714724068337,0.40353413001506633,0.4046959237180916,-0.3037123437555073,-0.3003391970623279,0.14790093215647232,0.1532921024852626,1.4414917890578045
PAM4,4,30.0,10.0,6.0,DFE6,41,6,9.427760220293823,33.776293437150954,0.039,0.022875,0.01575,0.03,1.9047619047619047,0.3371544129265488,-0.4887485710310888,-0.09329564223142155,0.291817724196667,0.4215418240515471,0.066178354565553,0.12737250471468986,-0.09996730114465797,-0.07376014312500562,0.09857755439490973,-0.015032988824386946,1.2813330278922372
PAM4,4,30.0,10.0,6.0,FFE,41,0,5.441369574047041,53.448007698186075,0.35775,0.18425,0.11425,0.25425,2.2253829321663017,0.5335171454235093,-0.81727921964713,0.5558370969056992,-0.24533976594396473,0.03722011924596888,0.4026926014037042,0.4031698610805844,-0.3031085551195292,-0.299882584742646,0.1487664735052899,0.1526397950499829,1.4894667165263245
PAM6,6,30.0,10.0,-2.0,DFE6,41,6,2.094251783460532,78.57554660306153,0.341,nan,nan,nan,nan,0.7843173399731189,-0.5826865607795916,-0.041751014072508474,0.4106351241254571,0.401174625171148,0.06665755278007889,0.2740107592382208,-0.08854991632078128,-0.1968317344826386,0.07205936197544653,0.0247237442738838,1.4209009627822085
PAM6,6,30.0,10.0,-2.0,FFE,41,0,5.335272348714451,54.104873075435954,0.55325,nan,nan,nan,nan,0.5400584783008783,-0.797439543790243,0.5455560425985261,-0.25492601150456323,0.039597586361579055,0.40220627795483965,0.4079758448792901,-0.30070641853112834,-0.29930769791178535,0.14349372258224471,0.1534749242736601,1.4762290208722477
PAM6,6,30.0,10.0,2.0,DFE6,41,6,1.4754348745041752,84.37781137201755,0.35425,nan,nan,nan,nan,0.8422337919247241,-0.5743535407205128,-0.059238659644453316,0.41634846829240413,0.39678392445155397,0.046929726780968385,0.28923677640621875,-0.06735885777234171,-0.22112647889759696,0.048343813555144624,0.036680855526307864,1.371452853317706
PAM6,6,30.0,10.0,2.0,FFE,41,0,5.3110753790809415,54.25580743618544,0.554,nan,nan,nan,nan,0.5415650594377758,-0.797201319828745,0.5417361755590621,-0.24960475526922765,0.03670149352685386,0.4009645525317424,0.4048771977738572,-0.29982056271403085,-0.29899892823555424,0.1449630116402562,0.1531217789278487,1.5684070774889616
PAM6,6,30.0,10.0,6.0,DFE6,41,6,2.2265836593478956,77.38750000207484,0.30075,nan,nan,nan,nan,0.772458618142558,-0.5697180629468633,-0.05758652001574804,0.3825242377865609,0.4198023432278545,0.04601012415606744,0.2597900176807975,-0.07849254904513035,-0.20233085132559325,0.06648929405889421,0.035222087397788204,1.3457625102752167
PAM6,6,30.0,10.0,6.0,FFE,41,0,5.313987748456991,54.2376185723145,0.553,nan,nan,nan,nan,0.5413835037000797,-0.7989470151720116,0.5412187684871553,-0.24821948900335833,0.035990793570621946,0.40117550175186156,0.40417858863094336,-0.29988288501597826,-0.2992622265713523,0.14603517107097744,0.15310321222792986,1.6192873210524001
