cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.75_w1,0.75,1,rl,240,-0.0594,0.0250
R0.75_w1,0.75,1,rl,320,-0.0547,0.0250
R0.75_w1,0.75,1,rl,400,-0.0125,0.0250
R0.75_w1,0.75,1,rl,480,-0.0484,0.0250
R0.75_w1,0.75,1,rl,560,-0.0281,0.0250
R0.75_w1,0.75,1,rl,640,-0.0125,0.0250
R0.75_w1,0.75,1,rl,720,-0.0234,0.0250
R0.75_w1,0.75,1,rl,800,-0.0688,0.0250
R0.75_w1,0.75,1,rl_peredge,80,-0.1812,0.0375
R0.75_w1,0.75,1,rl_peredge,160,-0.0641,0.0375
R0.75_w1,0.75,1,rl_peredge,240,-0.0437,0.0375
R0.75_w1,0.75,1,rl_peredge,320,-0.0641,0.0250
R0.75_w1,0.75,1,rl_peredge,400,-0.0672,0.0250
R0.75_w1,0.75,1,rl_peredge,480,-0.0516,0.0250
R0.75_w1,0.75,1,rl_peredge,560,-0.0453,0.0125
R0.75_w1,0.75,1,rl_peredge,640,-0.0625,0.0125
R0.75_w1,0.75,1,rl_peredge,720,-0.0516,0.0125
R0.75_w1,0.75,1,rl_peredge,800,-0.0688,0.0125
R0.75_w1,0.75,1,cem,80,,0.0375
R0.75_w1,0.75,1,cem,160,,0.0250
R0.75_w1,0.75,1,cem,240,,0.0125
R0.75_w1,0.75,1,cem,320,,0.0125
R0.75_w1,0.75,1,cem,400,,0.0125
R0.75_w1,0.75,1,cem,480,,0.0125
R0.75_w1,0.75,1,cem,560,,0.0125
R0.75_w1,0.75,1,cem,640,,0.0125
R0.75_w1,0.75,1,cem,720,,0.0000
R0.75_w1,0.75,1,cem,800,,0.0000
R0.75_w1,0.75,1,random,80,,0.0125
R0.75_w1,0.75,1,random,160,,0.0000
R0.75_w1,0.75,1,random,240,,0.0000
R0.75_w1,0.75,1,random,320,,0.0000
R0.75_w1,0.75,1,random,400,,0.0000
R0.75_w1,0.75,1,random,480,,0.0000
R0.75_w1,0.75,1,random,560,,0.0000
R0.75_w1,0.75,1,random,640,,0.0000
R0.75_w1,0.75,1,random,720,,0.0000
R0.75_w1,0.75,1,random,800,,0.0000
R0.75_w2,0.75,2,rl,80,-0.1703,0.0750
R0.75_w2,0.75,2,rl,160,-0.2062,0.0750
R0.75_w2,0.75,2,rl,240,-0.1547,0.0750
R0.75_w2,0.75,2,rl,320,-0.1219,0.0625
R0.75_w2,0.75,2,rl,400,-0.1094,0.0625
R0.75_w2,0.75,2,rl,480,-0.1484,0.0625
R0.75_w2,0.75,2,rl,560,-0.1203,0.0625
R0.75_w2,0.75,2,rl,640,-0.0844,0.0625
R0.75_w2,0.75,2,rl,720,-0.0891,0.0500
R0.75_w2,0.75,2,rl,800,-0.2109,0.0500
R0.75_w2,0.75,2,rl_peredge,80,-0.2906,0.1875
R0.75_w2,0.75,2,rl_peredge,160,-0.2000,0.1000
R0.75_w2,0.75,2,rl_peredge,240,-0.1516,0.1000
R0.75_w2,0.75,2,rl_peredge,320,-0.1719,0.1000
R0.75_w2,0.75,2,rl_peredge,400,-0.1703,0.0750
R0.75_w2,0.75,2,rl_peredge,480,-0.0891,0.0750
R0.75_w2,0.75,2,rl_peredge,560,-0.0984,0.0750
R0.75_w2,0.75,2,rl_peredge,640,-0.1703,0.0750
R0.75_w2,0.75,2,rl_peredge,720,-0.0922,0.0750
R0.75_w2,0.75,2,rl_peredge,800,-0.1594,0.0750
R0.75_w2,0.75,2,cem,80,,0.2250
R0.75_w2,0.75,2,cem,160,,0.0500
R0.75_w2,0.75,2,cem,240,,0.0500
R0.75_w2,0.75,2,cem,320,,0.0500
R0.75_w2,0.75,2,cem,400,,0.0500
R0.75_w2,0.75,2,cem,480,,0.0250
R0.75_w2,0.75,2,cem,560,,0.0250
R0.75_w2,0.75,2,cem,640,,0.0250
R0.75_w2,0.75,2,cem,720,,0.0250
R0.75_w2,0.75,2,cem,800,,0.0250
R0.75_w2,0.75,2,random,80,,0.1750
R0.75_w2,0.75,2,random,160,,0.1375
R0.75_w2,0.75,2,random,240,,0.0750
R0.75_w2,0.75,2,random,320,,0.0750
R0.75_w2,0.75,2,random,400,,0.0750
R0.75_w2,0.75,2,random,480,,0.0750
R0.75_w2,0.75,2,random,560,,0.0750
R0.75_w2,0.75,2,random,640,,0.0500
R0.75_w2,0.75,2,random,720,,0.0500
R0.75_w2,0.75,2,random,800,,0.0500
R0.75_w3,0.75,3,rl,80,-0.2781,0.0625
R0.75_w3,0.75,3,rl,160,-0.1969,0.0500
R0.75_w3,0.75,3,rl,240,-0.1375,0.0375
R0.75_w3,0.75,3,rl,320,-0.0500,0.0000
R0.75_w3,0.75,3,rl,400,-0.0344,0.0000
R0.75_w3,0.75,3,rl,480,-0.0125,0.0000
R0.75_w3,0.75,3,rl,560,-0.0031,0.0000
R0.75_w3,0.75,3,rl,640,-0.0031,0.0000
R0.75_w3,0.75,3,rl,720,0.0000,0.0000
R0.75_w3,0.75,3,rl,800,-0.0063,0.0000
R0.75_w3,0.75,3,rl_peredge,80,-0.2922,0.0500
R0.75_w3,0.75,3,rl_peredge,160,-0.2891,0.0500
R0.75_w3,0.75,3,rl_peredge,240,-0.1984,0.0500
R0.75_w3,0.75,3,rl_peredge,320,-0.0953,0.0125
R0.75_w3,0.75,3,rl_peredge,400,-0.0703,0.0125
R0.75_w3,0.75,3,rl_peredge,480,-0.0406,0.0125
R0.75_w3,0.75,3,rl_peredge,560,-0.0469,0.0125
R0.75_w3,0.75,3,rl_peredge,640,-0.0312,0.0125
R0.75_w3,0.75,3,rl_peredge,720,-0.0172,0.0000
R0.75_w3,0.75,3,rl_peredge,800,-0.0172,0.0000
R0.75_w3,0.75,3,cem,80,,0.0500
R0.75_w3,0.75,3,cem,160,,0.0375
R0.75_w3,0.75,3,cem,240,,0.0375
R0.75_w3,0.75,3,cem,320,,0.0000
R0.75_w3,0.75,3,cem,400,,0.0000
R0.75_w3,0.75,3,cem,480,,0.0000
R0.75_w3,0.75,3,cem,560,,0.0000
R0.75_w3,0.75,3,cem,640,,0.0000
R0.75_w3,0.75,3,cem,720,,0.0000
R0.75_w3,0.75,3,cem,800,,0.0000
R0.75_w3,0.75,3,random,80,,0.1000
R0.75_w3,0.75,3,random,160,,0.0125
R0.75_w3,0.75,3,random,240,,0.0125
R0.75_w3,0.75,3,random,320,,0.0125
R0.75_w3,0.75,3,random,400,,0.0125
R0.75_w3,0.75,3,random,480,,0.0125
R0.75_w3,0.75,3,random,560,,0.0125
R0.75_w3,0.75,3,random,640,,0.0125
R0.75_w3,0.75,3,random,720,,0.0000
R0.75_w3,0.75,3,random,800,,0.0000
R0.833_w1,0.833,1,rl,80,-0.2984,0.3750
R0.833_w1,0.833,1,rl,160,-0.4250,0.2625
R0.833_w1,0.833,1,rl,240,-0.3641,0.2625
R0.833_w1,0.833,1,rl,320,-0.3516,0.1750
R0.833_w1,0.833,1,rl,400,-0.2516,0.1750
R0.833_w1,0.833,1,rl,480,-0.4047,0.1750
R0.833_w1,0.833,1,rl,560,-0.3141,0.1750
R0.833_w1,0.833,1,rl,640,-0.2609,0.1750
R0.833_w1,0.833,1,rl,720,-0.2797,0.1750
R0.833_w1,0.833,1,rl,800,-0.4000,0.1500
R0.833_w1,0.833,1,rl_peredge,80,-0.4219,0.2750
R0.833_w1,0.833,1,rl_peredge,160,-0.2453,0.2500
R0.833_w1,0.833,1,rl_peredge,240,-0.4703,0.1875
R0.833_w1,0.833,1,rl_peredge,320,-0.2391,0.1500
R0.833_w1,0.833,1,rl_peredge,400,-0.3406,0.1500
R0.833_w1,0.833,1,rl_peredge,480,-0.1797,0.1500
R0.833_w1,0.833,1,rl_peredge,560,-0.1859,0.1500
R0.833_w1,0.833,1,rl_peredge,640,-0.2562,0.1500
R0.833_w1,0.833,1,rl_peredge,720,-0.2250,0.1500
R0.833_w1,0.833,1,rl_peredge,800,-0.2141,0.1500
R0.833_w1,0.833,1,cem,80,,0.3125
R0.833_w1,0.833,1,cem,160,,0.3125
R0.833_w1,0.833,1,cem,240,,0.2750
R0.833_w1,0.833,1,cem,320,,0.2125
R0.833_w1,0.833,1,cem,400,,0.1625
R0.833_w1,0.833,1,cem,480,,0.1625
R0.833_w1,0.833,1,cem,560,,0.1375
R0.833_w1,0.833,1,cem,640,,0.1375
R0.833_w1,0.833,1,cem,720,,0.1375
R0.833_w1,0.833,1,cem,800,,0.1375
R0.833_w1,0.833,1,random,80,,0.1750
R0.833_w1,0.833,1,random,160,,0.1750
R0.833_w1,0.833,1,random,240,,0.1750
R0.833_w1,0.833,1,random,320,,0.1750
R0.833_w1,0.833,1,random,400,,0.1750
R0.833_w1,0.833,1,random,480,,0.1750
R0.833_w1,0.833,1,random,560,,0.1750
R0.833_w1,0.833,1,random,640,,0.1750
R0.833_w1,0.833,1,random,720,,0.1750
R0.833_w1,0.833,1,random,800,,0.1750
R0.833_w2,0.833,2,rl,80,-0.4984,0.4500
R0.833_w2,0.833,2,rl,160,-0.5437,0.4500
R0.833_w2,0.833,2,rl,240,-0.6094,0.4500
R0.833_w2,0.833,2,rl,320,-0.5922,0.3375
R0.833_w2,0.833,2,rl,400,-0.2875,0.2875
R0.833_w2,0.833,2,rl,480,-0.5125,0.2875
R0.833_w2,0.833,2,rl,560,-0.4750,0.2875
R0.833_w2,0.833,2,rl,640,-0.4938,0.1875
R0.833_w2,0.833,2,rl,720,-0.3891,0.1875
R0.833_w2,0.833,2,rl,800,-0.3891,0.1875
R0.833_w2,0.833,2,rl_peredge,80,-0.5797,0.4000
R0.833_w2,0.833,2,rl_peredge,160,-0.5344,0.4000
R0.833_w2,0.833,2,rl_peredge,240,-0.5984,0.3250
R0.833_w2,0.833,2,rl_peredge,320,-0.4594,0.3250
R0.833_w2,0.833,2,rl_peredge,400,-0.5094,0.2875
R0.833_w2,0.833,2,rl_peredge,480,-0.3172,0.2875
R0.833_w2,0.833,2,rl_peredge,560,-0.3953,0.2875
R0.833_w2,0.833,2,rl_peredge,640,-0.4531,0.2875
R0.833_w2,0.833,2,rl_peredge,720,-0.4844,0.2875
R0.833_w2,0.833,2,rl_peredge,800,-0.3781,0.2875
R0.833_w2,0.833,2,cem,80,,0.4625
R0.833_w2,0.833,2,cem,160,,0.4625
R0.833_w2,0.833,2,cem,240,,0.3125
R0.833_w2,0.833,2,cem,320,,0.3125
R0.833_w2,0.833,2,cem,400,,0.3125
R0.833_w2,0.833,2,cem,480,,0.3125
R0.833_w2,0.833,2,cem,560,,0.3125
R0.833_w2,0.833,2,cem,640,,0.3125
R0.833_w2,0.833,2,cem,720,,0.3125
R0.833_w2,0.833,2,cem,800,,0.2625
R0.833_w2,0.833,2,random,80,,0.7250
R0.833_w2,0.833,2,random,160,,0.3000
R0.833_w2,0.833,2,random,240,,0.3000
R0.833_w2,0.833,2,random,320,,0.3000
R0.833_w2,0.833,2,random,400,,0.3000
R0.833_w2,0.833,2,random,480,,0.3000
R0.833_w2,0.833,2,random,560,,0.3000
R0.833_w2,0.833,2,random,640,,0.3000
R0.833_w2,0.833,2,random,720,,0.3000
R0.833_w2,0.833,2,random,800,,0.3000
R0.833_w3,0.833,3,rl,80,-0.4984,0.2125
R0.833_w3,0.833,3,rl,160,-0.2828,0.2125
R0.833_w3,0.833,3,rl,240,-0.1922,0.0125
R0.833_w3,0.833,3,rl,320,-0.1062,0.0125
R0.833_w3,0.833,3,rl,400,-0.0375,0.0125
R0.833_w3,0.833,3,rl,480,-0.0266,0.0125
R0.833_w3,0.833,3,rl,560,-0.0156,0.0000
R0.833_w3,0.833,3,rl,640,-0.0094,0.0000
R0.833_w3,0.833,3,rl,720,-0.0187,0.0000
R0.833_w3,0.833,3,rl,800,-0.0234,0.0000
R0.833_w3,0.833,3,rl_peredge,80,-0.5469,0.2875
R0.833_w3,0.833,3,rl_peredge,160,-0.4047,0.2500
R0.833_w3,0.833,3,rl_peredge,240,-0.3797,0.0625
R0.833_w3,0.833,3,rl_peredge,320,-0.1828,0.0625
R0.833_w3,0.833,3,rl_peredge,400,-0.1703,0.0250
R0.833_w3,0.833,3,rl_peredge,480,-0.0984,0.0250
R0.833_w3,0.833,3,rl_peredge,560,-0.1344,0.0250
R0.833_w3,0.833,3,rl_peredge,640,-0.0609,0.0250
R0.833_w3,0.833,3,rl_peredge,720,-0.0969,0.0250
